23/07/2016 14:41:01 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 05:34:41 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 05:42:50 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 05:47:16 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 05:53:47 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 05:54:14 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 05:54:58 | TaxiCameBack.Services.dll | CreateUser | TaxiCameBack.Services.Membership.MembershipService | 96 | Validation failed for one or more entities. See 'EntityValidationErrors' property for more details.
24/07/2016 05:56:31 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 06:12:48 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 06:14:26 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 06:34:42 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 06:39:44 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 06:44:40 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 06:56:18 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 06:57:59 | TaxiCameBack.Services.dll | CreateUser | TaxiCameBack.Services.Membership.MembershipService | 96 | Validation failed for one or more entities. See 'EntityValidationErrors' property for more details.
24/07/2016 07:01:40 | TaxiCameBack.Website.dll | Application_Start | TaxiCameBack.Website.MvcApplication | 38 | START APP
24/07/2016 07:02:36 | TaxiCameBack.Services.dll | CreateUser | TaxiCameBack.Services.Membership.MembershipService | 96 | Validation failed for one or more entities. See 'EntityValidationErrors' property for more details.
24/07/2016 07:02:59 | TaxiCameBack.Services.dll | Logon | TaxiCameBack.Services.Membership.MembershipService | 384 | An error occurred while saving entities that do not expose foreign key properties for their relationships. The EntityEntries property will return null because a single entity cannot be identified as the source of the exception. Handling of exceptions while saving can be made easier by exposing foreign key properties in your entity types. See the InnerException for details. INNER EXCEPTION: An error occurred while updating the entries. See the inner exception for details. INNER EXCEPTION: The INSERT statement conflicted with the FOREIGN KEY constraint "FK_dbo.UserRoles_dbo.MembershipUser_UserId". The conflict occurred in database "TaxiCameBack", table "dbo.MembershipUser", column 'UserId'.
The statement has been terminated.
24/07/2016 07:03:12 | TaxiCameBack.Services.dll | Logon | TaxiCameBack.Services.Membership.MembershipService | 384 | An error occurred while saving entities that do not expose foreign key properties for their relationships. The EntityEntries property will return null because a single entity cannot be identified as the source of the exception. Handling of exceptions while saving can be made easier by exposing foreign key properties in your entity types. See the InnerException for details. INNER EXCEPTION: An error occurred while updating the entries. See the inner exception for details. INNER EXCEPTION: The INSERT statement conflicted with the FOREIGN KEY constraint "FK_dbo.UserRoles_dbo.MembershipUser_UserId". The conflict occurred in database "TaxiCameBack", table "dbo.MembershipUser", column 'UserId'.
The statement has been terminated.
24/07/2016 07:03:13 | TaxiCameBack.Services.dll | Logon | TaxiCameBack.Services.Membership.MembershipService | 384 | An error occurred while saving entities that do not expose foreign key properties for their relationships. The EntityEntries property will return null because a single entity cannot be identified as the source of the exception. Handling of exceptions while saving can be made easier by exposing foreign key properties in your entity types. See the InnerException for details. INNER EXCEPTION: An error occurred while updating the entries. See the inner exception for details. INNER EXCEPTION: The INSERT statement conflicted with the FOREIGN KEY constraint "FK_dbo.UserRoles_dbo.MembershipUser_UserId". The conflict occurred in database "TaxiCameBack", table "dbo.MembershipUser", column 'UserId'.
The statement has been terminated.
